                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2464,                 2.7916,                 1.1718,                0.96313,                0.48312,                0.55657,                0.40004,                 1.0425,                 2.0438,                 1.0036,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.1347,                 1.2082,                 1.1282,                0.81602,                 0.7168,                0.74829,                0.49419,                 1.0056,                 1.1955,                 1.0025,             0.00010944,             0.00010944,             0.00010944
