                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2434,                 2.7178,                 1.2752,                0.75655,                0.68665,                0.71232,                0.45959,                 1.1432,                 2.1047,                 1.1521,             0.00011669,             0.00011669,             0.00011669
                      2,                  1.231,                 1.3544,                  1.225,                0.82139,                0.78778,                0.81281,                0.50082,                 1.2028,                 1.1994,                 1.1873,             0.00012628,             0.00012628,             0.00012628
